"yorf","gene","beckmannHi","beckmannLo","hogan","tsvetanova","mitchell","score","RNAbinding","essential","desc"
"YNL004W","HRB1",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",FALSE,"Poly(A+) RNA-binding protein; key surveillance factor for the selective export of spliced mRNAs from the nucleus to the cytoplasm; preference for intron-containing genes; similar to Npl3p; HRB1 has a paralog, GBP2, that arose from the whole genome duplication"
"YNL016W","PUB1",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",FALSE,"Poly (A)+ RNA-binding protein; abundant mRNP-component protein that binds mRNA and is required for stability of many mRNAs; component of glucose deprivation induced stress granules, involved in P-body-dependent granule assembly; implicated in regulation of translation; carries Q/N-rich domain at C- terminus, identified as candidate prion; human homolog Tia1 is critical for normal synaptic plasticity; protein abundance increases in response to DNA replication stress"
"YOL123W","HRP1",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",TRUE,"Subunit of cleavage factor I; cleavage factor I is a five-subunit complex required for the cleavage and polyadenylation of pre-mRNA 3' ends; RRM-containing heteronuclear RNA binding protein and hnRNPA/B family member that binds to poly (A) signal sequences; required for genome stability"
"YPL043W","NOP4",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",TRUE,"Nucleolar protein; essential for processing and maturation of 27S pre-rRNA and large ribosomal subunit biogenesis; constituent of 66S pre-ribosomal particles; contains four RNA recognition motifs (RRMs)"
"YPL184C","MRN1",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",FALSE,"RNA-binding protein that may be involved in translational regulation; binds specific categories of mRNAs, including those that contain upstream open reading frames (uORFs) and internal ribosome entry sites (IRES); interacts genetically with chromatin remodelers and splicing factors, linking chromatin state, splicing and as a result mRNA maturation"
"YPL190C","NAB3",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",TRUE,"RNA-binding protein, subunit of Nrd1 complex (Nrd1p-Nab3p-Sen1p); complex interacts with exosome to mediate 3'-end formation of some mRNAs, snRNAs, snoRNAs, and CUTs; required for termination of non-poly(A) transcripts and efficient splicing; Nrd1-Nab3 pathway appears to have a role in rapid suppression of some genes when cells are shifted to poor growth conditions, indicating role for Nrd1-Nab3 in regulating cellular response to nutrient availability"
"YPR163C","TIF3",TRUE,TRUE,TRUE,TRUE,TRUE,3,"classicalRBD",FALSE,"Translation initiation factor eIF-4B; contains an RNA recognition motif and binds to single-stranded RNA; has RNA annealing activity; interacts with Rps20p at the head of the 40S ribosomal subunit and alters the structure of the mRNA entry channel"
"YBL051C","PIN4",TRUE,TRUE,TRUE,FALSE,TRUE,3,"classicalRBD",FALSE,"Protein involved in G2/M phase progression and response to DNA damage; interacts with Rad53p; contains an RNA recognition motif, a nuclear localization signal, and several SQ/TQ cluster domains; hyperphosphorylated in response to DNA damage"
"YER165W","PAB1",TRUE,TRUE,TRUE,FALSE,TRUE,3,"classicalRBD",TRUE,"Poly(A) binding protein; part of the 3'-end RNA-processing complex, mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail, involved in control of poly(A) tail length, interacts with translation factor eIF-4G; stimulates, but is not required for the deadenylation activity of the Pan2p-Pan3p poly(A)-ribonuclease complex"
"YDR381W","YRA1",TRUE,TRUE,TRUE,TRUE,FALSE,2,"classicalRBD",TRUE,"Nuclear polyadenylated RNA-binding protein; required for export of poly(A)+ mRNA from the nucleus; proposed to couple mRNA export with 3' end processing via its interactions with Mex67p and Pcf11p; interacts with DBP2; inhibits the helicase activity of Dbp2; functionally redundant with Yra2p, another REF family member"
"YIR001C","SGN1",TRUE,TRUE,TRUE,TRUE,FALSE,2,"classicalRBD",FALSE,"Cytoplasmic RNA-binding protein; contains an RNA recognition motif (RRM); may have a role in mRNA translation, as suggested by genetic interactions with genes encoding proteins involved in translational initiation"
"YKL214C","YRA2",TRUE,TRUE,TRUE,TRUE,FALSE,2,"classicalRBD",FALSE,"Member of the REF (RNA and export factor binding proteins) family; when overexpressed, can substitute for the function of Yra1p in export of poly(A)+ mRNA from the nucleus"
"YNL178W","RPS3",TRUE,TRUE,TRUE,TRUE,FALSE,2,"classicalRBD",TRUE,"Protein component of the small (40S) ribosomal subunit; has apurinic/apyrimidinic (AP) endonuclease activity; essential for viability; nascent Rps3p is bound by specific chaperone Yar1p during translation; homologous to mammalian ribosomal protein S3 and bacterial S3"
"YNL197C","WHI3",TRUE,TRUE,TRUE,TRUE,FALSE,2,"classicalRBD",FALSE,"RNA binding protein that sequesters CLN3 mRNA in cytoplasmic foci; regulates genes involved in the cell cycle, sister chromatid cohesion, and stress response; acts as a cytoplasmic retention factor for Cdc28p and associated cyclins; regulates cell fate and dose-dependently regulates the critical cell size required for passage through Start; Tpk1p (PKA) mediated phosphorylation (S568) inhibits Whi3p function, decreasing its interaction with CLN3 mRNA; regulates ploidy"
"YOL041C","NOP12",TRUE,TRUE,TRUE,TRUE,FALSE,2,"classicalRBD",FALSE,"Nucleolar protein involved in pre-25S rRNA processing; also involved in biogenesis of large 60S ribosomal subunit; contains an RNA recognition motif (RRM); binds to Ebp2; similar to Nop13p and Nsr1p"
"YHR086W","NAM8",TRUE,FALSE,TRUE,TRUE,TRUE,2,"classicalRBD",FALSE,"RNA binding protein, component of the U1 snRNP protein; mutants are defective in meiotic recombination and in formation of viable spores, involved in the formation of DSBs through meiosis-specific splicing of REC107 pre-mRNA; Nam8p regulon embraces the meiotic pre-mRNAs of REC107, HFM1, AMA1 SPO22 and PCH2; the putative RNA binding domains RRM2 and RRM3 are required for Nam8p meiotic function"
"YNL251C","NRD1",TRUE,FALSE,TRUE,TRUE,TRUE,2,"classicalRBD",TRUE,"RNA-binding subunit of Nrd1 complex; complex interacts with exosome to mediate 3'-end formation of some mRNAs, snRNAs, snoRNAs, and CUTs; interacts with CTD of RNA pol II large subunit Rpo21p at phosphorylated Ser5 to direct transcription termination of non-polyadenylated transcripts; H3K4 trimethylation of transcribed regions by Set1p enhances recruitment of Nrd1p to those sites; role in regulation of mitochondrial abundance and cell size"
"YPR042C","PUF2",TRUE,FALSE,TRUE,TRUE,TRUE,2,"classicalRBD",FALSE,"PUF family mRNA-binding protein; Pumilio homology domain confers RNA binding activity; preferentially binds mRNAs encoding membrane-associated proteins; binding site composed of two UAAU tetranucleotides, separated by a 3-nt linker; PUF2 has a paralog, JSN1, that arose from the whole genome duplication"
"YPR112C","MRD1",TRUE,FALSE,TRUE,TRUE,TRUE,2,"classicalRBD",TRUE,"Essential conserved small ribosomal subunit (40s) synthesis factor; component of the 90S preribosome; required for production of 18S rRNA and small ribosomal subunit; contains five consensus RNA-binding domains and binds to the pre-rRNA at two sites within the 18S region"
"YOR145C","PNO1",FALSE,TRUE,FALSE,TRUE,FALSE,2,"nonclassicalRBD",TRUE,"Essential nucleolar protein required for pre-18S rRNA processing; interacts with Dim1p, an 18S rRNA dimethyltransferase, and also with Nob1p, which is involved in proteasome biogenesis; contains a KH domain"
"YAR007C","RFA1",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",TRUE,"Subunit of heterotrimeric Replication Protein A (RPA); RPA is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination; RPA protects against inappropriate telomere recombination, and upon telomere uncapping, prevents cell proliferation by a checkpoint-independent pathway; role in DNA catenation/decatenation pathway of chromosome disentangling; relocalizes to the cytosol in response to hypoxia"
"YBL004W","UTP20",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",TRUE,"Component of the small-subunit (SSU) processome; SSU processome is involved in the biogenesis of the 18S rRNA"
"YBR079C","RPG1",TRUE,TRUE,FALSE,FALSE,TRUE,2,"unknownRBD",TRUE,"eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; essential for translation; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates binding of mRNA and tRNA(i)Met to ribosomes; involved in translation reinitiation; eIF3 is also involved in programmed stop codon readthrough"
"YCL037C","SRO9",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",FALSE,"Cytoplasmic RNA-binding protein; shuttles between nucleus and cytoplasm and is exported from the nucleus in an mRNA export-dependent manner; associates with translating ribosomes; involved in heme regulation of Hap1p as a component of the HMC complex, also involved in the organization of actin filaments; contains a La motif; SRO9 has a paralog, SLF1, that arose from the whole genome duplication"
"YCR077C","PAT1",TRUE,TRUE,FALSE,FALSE,TRUE,2,"unknownRBD",FALSE,"Deadenylation-dependent mRNA-decapping factor; also required for faithful chromosome transmission, maintenance of rDNA locus stability, and protection of mRNA 3'-UTRs from trimming; associated with topoisomerase II; binds to mRNAs under glucose starvation, most often in the 3' UTR; functionally linked to Pab1p; forms cytoplasmic foci upon DNA replication stress; phosphorylation by PKA inhibits P body foci formation"
"YDL160C","DHH1",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",FALSE,"Cytoplasmic DEAD-box helicase, stimulates mRNA decapping; coordinates distinct steps in mRNA function and decay, interacting with both decapping and deadenylase complexes; role in translational repression, mRNA decay, and possibly mRNA export; interacts and cooperates with Ngr1p to promote specific mRNA decay; ATP- and RNA-bound form promotes processing body (PB) assembly, while ATPase stimulation by Not1p promotes PB disassembly; forms cytoplasmic foci on replication stress"
"YDL185W","VMA1",TRUE,TRUE,FALSE,FALSE,TRUE,2,"unknownRBD",FALSE,"Subunit A of the V1 peripheral membrane domain of V-ATPase; protein precursor undergoes self-catalyzed splicing to yield the extein Tfp1p and the intein Vde (PI-SceI), which is a site-specific endonuclease; the V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase) has eight subunits; involved in methionine restriction extension of chronological lifespan in an autophagy-dependent manner"
"YDR037W","KRS1",FALSE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",TRUE,"Lysyl-tRNA synthetase"
"YDR060W","MAK21",TRUE,TRUE,FALSE,FALSE,TRUE,2,"unknownRBD",TRUE,"Constituent of 66S pre-ribosomal particles; required for large (60S) ribosomal subunit biogenesis; acts as part of a Mak21p-Noc2p-Rrp5p module that associates with nascent pre-rRNA during transcription and has a role in bigenesis of the large ribosomal subunit; involved in nuclear export of pre-ribosomes; required for maintenance of dsRNA virus; homolog of human CAATT-binding protein"
"YDR155C","CPR1",TRUE,TRUE,FALSE,FALSE,TRUE,2,"unknownRBD",FALSE,"Cytoplasmic peptidyl-prolyl cis-trans isomerase (cyclophilin); catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; binds the drug cyclosporin A; N-terminally propionylated in vivo; protein abundance increases in response to DNA replication stress"
"YDR172W","SUP35",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",TRUE,"Translation termination factor eRF3; has a role in mRNA deadenylation and decay; altered protein conformation creates the [PSI(+)] prion that modifies cellular fitness, alters translational fidelity by affecting reading frame selection, and results in a nonsense suppressor phenotype; many stress-response genes are repressed in the presence of [PSI(+)]"
"YDR194C","MSS116",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",FALSE,"Mitochondrial transcription elongation factor; DEAD-box protein; required for efficient splicing of mitochondrial Group I and II introns; non-polar RNA helicase that also facilities strand annealing; promotes RNA folding by stabilizing an early assembly intermediate"
"YDR293C","SSD1",TRUE,TRUE,FALSE,FALSE,TRUE,2,"unknownRBD",FALSE,"Translational repressor with a role in polar growth and wall integrity; regulated by Cbk1p phosphorylation to effect bud-specific translational control and localization of specific mRNAs; interacts with TOR pathway components; contains a functional N-terminal nuclear localization sequence and nucleocytoplasmic shuttling appears to be critical to Ssd1p function"
"YDR505C","PSP1",TRUE,TRUE,FALSE,FALSE,TRUE,2,"unknownRBD",FALSE,"Asn and gln rich protein of unknown function; high-copy suppressor of POL1 (DNA polymerase alpha) and partial suppressor of CDC2 (polymerase delta) and CDC6 (pre-RC loading factor) mutations; overexpression results in growth inhibition; PSP1 has a paralog, YLR177W, that arose from the whole genome duplication"
"YDR515W","SLF1",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",FALSE,"RNA binding protein that associates with polysomes; may be involved in regulating mRNA translation; involved in the copper-dependent mineralization of copper sulfide complexes on cell surface in cells cultured in copper salts; SLF1 has a paralog, SRO9, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress"
"YER151C","UBP3",TRUE,TRUE,FALSE,FALSE,TRUE,2,"unknownRBD",FALSE,"Ubiquitin-specific protease involved in transport and osmotic response; negatively regulates Ras/PKA signaling; interacts with Bre5p to coregulate anterograde, retrograde transport between ER and Golgi; involved in transcription elongation in response to osmostress through phosphorylation at Ser695 by Hog1p; inhibitor of gene silencing; role in ribophagy; cleaves ubiquitin fusions but not polyubiquitin; protein abundance increases in response to DNA replication stress"
"YER176W","ECM32",TRUE,TRUE,FALSE,FALSE,TRUE,2,"unknownRBD",FALSE,"DNA dependent ATPase/DNA helicase; helicase belonging to the Dna2p- and Nam7p-like family of helicases that is involved in modulating translation termination; interacts with the translation termination factors, localized to polysomes"
"YGL049C","TIF4632",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",FALSE,"Translation initiation factor eIF4G; subunit of the mRNA cap-binding protein complex (eIF4F) that also contains eIF4E (Cdc33p); associates with the poly(A)-binding protein Pab1p, also interacts with eIF4A (Tif1p); TIF4632 has a paralog, TIF4631, that arose from the whole genome duplication"
"YGL099W","LSG1",TRUE,TRUE,FALSE,FALSE,TRUE,2,"unknownRBD",TRUE,"Putative GTPase involved in 60S ribosomal subunit biogenesis; required for the release of Nmd3p from 60S subunits in the cytoplasm"
"YGL120C","PRP43",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",TRUE,"RNA helicase in the DEAH-box family; functions in both RNA polymerase I and polymerase II transcript metabolism; catalyzes removal of U2, U5, and U6 snRNPs from the postsplicing lariat-intron ribonucleoprotein complex; required for efficient biogenesis of both small- and large-subunit rRNAs; acts with Sqs1p to promote 20S to 18S rRNA processing catalyzed by endonuclease Nob1p"
"YGL122C","NAB2",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",TRUE,"Nuclear polyadenylated RNA-binding protein; required for nuclear mRNA export and poly(A) tail length control; stimulates RNA polymerase III transcription by enhancing TFIIIB binding to promoters; protects mRNA against decay by the nuclear exosome in a poly(A)-tail-dependent manner; involved in forming export-competent mRNPs in the nucleus; autoregulates mRNA levels; NLS binds Kap104p; protein abundance increases under DNA replication stress; related to human hnRNPs"
"YGL173C","XRN1",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",FALSE,"Evolutionarily-conserved 5'-3' exonuclease; component of cytoplasmic processing (P) bodies involved in mRNA decay; also enters the nucleus and positively regulates transcription initiation and elongation; plays a role in microtubule-mediated processes, filamentous growth, ribosomal RNA maturation, and telomere maintenance; activated by the scavenger decapping enzyme Dcs1p"
"YGL245W","GUS1",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",TRUE,"Glutamyl-tRNA synthetase (GluRS); forms a complex with methionyl-tRNA synthetase (Mes1p) and Arc1p; complex formation increases the catalytic efficiency of both tRNA synthetases and ensures their correct localization to the cytoplasm; protein abundance increases in response to DNA replication stress"
"YGR072W","UPF3",TRUE,TRUE,FALSE,FALSE,TRUE,2,"classicalRBD",FALSE,"Component of the nonsense-mediated mRNA decay (NMD) pathway; along with Nam7p and Nmd2p; involved in decay of mRNA containing nonsense codons; involved in telomere maintenance"
"YGR103W","NOP7",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",TRUE,"Component of several different pre-ribosomal particles; forms a complex with Ytm1p and Erb1p that is required for maturation of the large ribosomal subunit; required for exit from G<sub>0</sub> and the initiation of cell proliferation"
"YGR162W","TIF4631",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",FALSE,"Translation initiation factor eIF4G; subunit of the mRNA cap-binding protein complex (eIF4F) that also contains eIF4E (Cdc33p); interacts with Pab1p and with eIF4A (Tif1p); also has a role in biogenesis of the large ribosomal subunit; TIF4631 has a paralog, TIF4632, that arose from the whole genome duplication"
"YGR178C","PBP1",TRUE,TRUE,FALSE,FALSE,TRUE,2,"unknownRBD",FALSE,"Component of glucose deprivation induced stress granules; involved in P-body-dependent granule assembly; similar to human ataxin-2; interacts with Pab1p to regulate mRNA polyadenylation; interacts with Mkt1p to regulate HO translation; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress"
"YGR271W","SLH1",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",FALSE,"Putative RNA helicase related to Ski2p; involved in translation inhibition of non-poly(A) mRNAs; required for repressing propagation of dsRNA viruses"
"YHL015W","RPS20",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",TRUE,"Protein component of the small (40S) ribosomal subunit; overproduction suppresses mutations affecting RNA polymerase III-dependent transcription; homologous to mammalian ribosomal protein S20 and bacterial S10"
"YHR082C","KSP1",TRUE,TRUE,FALSE,FALSE,TRUE,2,"unknownRBD",FALSE,"Serine/threonine protein kinase; associates with TORC1 and likely involved in TOR signaling cascades; negative regulator of autophagy; nuclear translocation required for haploid filamentous growth; regulates filamentous growth induced nuclear translocation of Bcy1p, Fus3p, and Sks1p; overproduction causes allele-specific suppression of prp20-10; protein abundance increases in response to DNA replication stress"
"YJL050W","MTR4",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",TRUE,"ATP-dependent 3'-5' RNA helicase of the DExD/H family; involved in nuclear RNA processing and degradation both as a component of TRAMP complex and in TRAMP-independent processes; TRAMP unwinds RNA duplexes, with Mtr4p unwinding activity stimulated by Pap2p/Air2p but not dependent on ongoing polyadenylation; contains an arch domain, with two coiled-coil arms/stalks and a globular fist/KOW domain, which has RNA binding activity and is required for 5.8S rRNA processing"
"YKL014C","URB1",TRUE,TRUE,FALSE,FALSE,TRUE,2,"unknownRBD",TRUE,"Protein required for the normal accumulation of 25S and 5.8S rRNAs; nucleolar protein; associated with the 27SA2 pre-ribosomal particle; proposed to be involved in the biogenesis of the 60S ribosomal subunit"
"YKL172W","EBP2",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",TRUE,"Required for 25S rRNA maturation and 60S ribosomal subunit assembly; localizes to the nucleolus and in foci along nuclear periphery; constituent of 66S pre-ribosomal particles; cooperates with Rrs1p and Mps3p to mediate telomere clustering by binding Sir4p, but is not involved in telomere tethering"
"YKL204W","EAP1",TRUE,TRUE,FALSE,FALSE,TRUE,2,"unknownRBD",FALSE,"eIF4E-associated protein, competes with eIF4G for binding to eIF4E; accelerates mRNA degradation by promoting decapping, facilitated by interaction with eIF4E; essential for Puf5p mediated repression; associates with Puf5p and Dhh1p; inhibits cap-dependent translation; functions independently of eIF4E to maintain genetic stability; plays a role in cell growth, implicated in the TOR signaling cascade"
"YLL011W","SOF1",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",TRUE,"Protein required for biogenesis of 40S (small) ribosomal subunit; has similarity to the beta subunit of trimeric G-proteins and the splicing factor Prp4p; essential gene"
"YLR175W","CBF5",TRUE,TRUE,FALSE,FALSE,TRUE,2,"classicalRBD",TRUE,"Pseudouridine synthase catalytic subunit of box H/ACA snoRNPs; acts on large and small rRNAs, on snRNA U2, and on some mRNAs; mutations in human ortholog dyskerin cause the disorder dyskeratosis congenita; small nucleolar ribonucleoprotein particles are also known as snoRNPs"
"YLR197W","NOP56",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",TRUE,"Essential evolutionarily-conserved nucleolar protein; component of the box C/D snoRNP complexes that direct 2'-O-methylation of pre-rRNA during its maturation; overexpression causes spindle orientation defects"
"YLR276C","DBP9",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",TRUE,"DEAD-box protein required for 27S rRNA processing; exhibits DNA, RNA and DNA/RNA helicase activities; ATPase activity shows preference for DNA over RNA; DNA helicase activity abolished by mutation in RNA-binding domain"
"YLR398C","SKI2",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",FALSE,"Ski complex component and putative RNA helicase; mediates 3'-5' RNA degradation by the cytoplasmic exosome; null mutants have superkiller phenotype of increased viral dsRNAs and are synthetic lethal with mutations in 5'-3' mRNA decay; mutations in the human ortholog, SKIV2L, causes Syndromic diarrhea/Trichohepatoenteric (SD/THE) syndrome"
"YLR401C","DUS3",TRUE,TRUE,FALSE,FALSE,TRUE,2,"unknownRBD",FALSE,"Dihydrouridine synthase; member of a widespread family of conserved proteins including Smm1p, Dus1p, and Dus4p; contains a consensus oleate response element (ORE) in its promoter region; forms nuclear foci upon DNA replication stress"
"YML010W","SPT5",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",TRUE,"Spt4p/5p (DSIF) transcription elongation factor complex subunit; the Spt4/5 complex binds to ssRNA in a sequence-specific manner, and in concert with RNAP I and II has multiple roles regulating transcriptional elongation, RNA processing, quality control, and transcription-coupled repair; interacts with DNA upstream of RNAPII and the non-template strand of the transcription bubble; Spt5p is the only transcription elongation factor conserved in all domains of life"
"YML017W","PSP2",TRUE,TRUE,FALSE,FALSE,TRUE,2,"unknownRBD",FALSE,"Asn rich cytoplasmic protein that contains RGG motifs; high-copy suppressor of group II intron-splicing defects of a mutation in MRS2 and of a conditional mutation in POL1 (DNA polymerase alpha); possible role in mitochondrial mRNA splicing"
"YMR012W","CLU1",TRUE,TRUE,FALSE,FALSE,TRUE,2,"nonclassicalRBD",FALSE,"Subunit of the eukaryotic translation initiation factor 3 (eIF3); component of unknown function; deletion causes defects in mitochondrial organization but not in growth or translation initiation; can rescue cytokinesis and mitochondrial organization defects of the Dictyostelium cluA- mutant; eIF3 is also involved in programmed stop codon readthrough"
